project_type,state,district,current_stage,parcel_count,objection_count,document_turnaround_days,officer_open_load,days_in_compensation,delay_days_remaining,compensation_days
highway,Madhya Pradesh,Pune,notification,5,1,25,12,2,275.0,62.0
irrigation,Madhya Pradesh,Nagpur,award,6,1,7,38,53,149.0,74.0
urban_transit,Maharashtra,Satara,notification,1,2,7,38,79,311.0,107.0
rail,Madhya Pradesh,Satara,possession,1,2,31,25,29,117.0,88.0
urban_transit,Madhya Pradesh,Satara,verification,5,2,7,8,93,246.0,96.0
rail,Maharashtra,Nashik,verification,5,0,6,41,26,238.0,70.0
highway,Madhya Pradesh,Ahmedabad,verification,3,2,6,46,33,242.0,78.0
irrigation,Maharashtra,Ahmedabad,possession,1,1,37,49,37,136.0,102.0
irrigation,Karnataka,Indore,award,3,2,20,21,43,188.0,89.0
urban_transit,Maharashtra,Nashik,award,6,2,36,50,110,250.0,147.0
irrigation,Madhya Pradesh,Nagpur,compensation,4,1,4,50,66,147.0,95.0
highway,Madhya Pradesh,Nagpur,objection,5,0,42,51,106,229.0,118.0
urban_transit,Madhya Pradesh,Ahmedabad,notification,4,4,13,28,99,343.0,131.0
urban_transit,Karnataka,Indore,objection,4,0,45,4,42,216.0,84.0
irrigation,Madhya Pradesh,Pune,compensation,4,5,25,26,69,232.0,140.0
highway,Maharashtra,Ahmedabad,award,6,1,16,46,0,198.0,80.0
urban_transit,Madhya Pradesh,Nashik,objection,2,0,36,10,103,185.0,91.0
urban_transit,Gujarat,Nagpur,award,3,3,25,15,61,234.0,118.0
rail,Karnataka,Pune,objection,4,1,19,30,33,208.0,78.0
irrigation,Karnataka,Nashik,compensation,6,3,45,25,109,201.0,141.0
irrigation,Maharashtra,Nashik,award,1,1,11,42,79,177.0,97.0
rail,Karnataka,Nashik,objection,1,3,15,14,22,251.0,93.0
rail,Madhya Pradesh,Pune,possession,1,0,29,40,68,100.0,93.0
highway,Maharashtra,Satara,possession,6,6,7,45,78,193.0,144.0
irrigation,Maharashtra,Pune,compensation,4,2,29,7,107,171.0,120.0
highway,Madhya Pradesh,Pune,possession,4,3,24,14,43,154.0,109.0
irrigation,Karnataka,Indore,verification,3,3,6,40,104,282.0,121.0
urban_transit,Gujarat,Ahmedabad,notification,5,1,2,9,77,241.0,69.0
highway,Maharashtra,Nagpur,verification,1,0,10,49,108,265.0,112.0
urban_transit,Karnataka,Nagpur,objection,6,1,24,35,87,230.0,108.0
highway,Gujarat,Indore,compensation,6,0,14,51,62,145.0,93.0
rail,Madhya Pradesh,Indore,objection,4,2,35,46,111,278.0,143.0
urban_transit,Gujarat,Indore,possession,3,3,39,14,2,163.0,101.0
highway,Madhya Pradesh,Ahmedabad,possession,1,3,34,38,5,163.0,104.0
irrigation,Karnataka,Ahmedabad,objection,4,2,39,28,49,290.0,125.0
highway,Madhya Pradesh,Nashik,compensation,4,3,22,46,62,195.0,121.0
rail,Gujarat,Nashik,award,2,1,19,11,117,187.0,112.0
urban_transit,Gujarat,Nagpur,notification,1,1,37,31,96,317.0,119.0
highway,Madhya Pradesh,Nashik,possession,1,5,10,22,116,203.0,158.0
irrigation,Madhya Pradesh,Satara,objection,6,1,26,51,48,245.0,104.0
highway,Karnataka,Pune,possession,3,0,30,10,38,96.0,77.0
highway,Gujarat,Satara,award,4,1,26,43,12,216.0,93.0
rail,Maharashtra,Ahmedabad,award,1,2,15,32,11,226.0,96.0
urban_transit,Gujarat,Indore,possession,3,1,3,49,93,112.0,105.0
irrigation,Madhya Pradesh,Satara,possession,5,3,18,34,104,160.0,134.0
highway,Madhya Pradesh,Ahmedabad,objection,1,0,10,37,66,153.0,63.0
urban_transit,Gujarat,Nagpur,possession,3,1,35,11,53,118.0,94.0
rail,Madhya Pradesh,Ahmedabad,verification,5,6,5,47,106,342.0,154.0
highway,Gujarat,Ahmedabad,notification,4,0,25,10,98,299.0,105.0
urban_transit,Madhya Pradesh,Satara,possession,5,3,17,42,7,146.0,95.0
urban_transit,Karnataka,Indore,award,1,1,25,8,114,171.0,104.0
rail,Maharashtra,Satara,notification,4,0,12,30,27,252.0,60.0
highway,Gujarat,Nashik,objection,1,2,44,34,21,271.0,108.0
urban_transit,Karnataka,Nashik,objection,5,1,12,22,65,191.0,79.0
highway,Maharashtra,Ahmedabad,possession,5,3,25,14,29,138.0,97.0
highway,Madhya Pradesh,Ahmedabad,possession,5,2,31,49,58,148.0,115.0
irrigation,Gujarat,Indore,notification,5,1,10,19,61,274.0,81.0
rail,Madhya Pradesh,Pune,objection,5,3,21,16,18,259.0,97.0
irrigation,Karnataka,Pune,award,3,1,15,46,74,177.0,96.0
highway,Maharashtra,Pune,objection,3,1,24,40,67,231.0,102.0
urban_transit,Madhya Pradesh,Satara,objection,4,2,26,32,28,252.0,99.0
highway,Maharashtra,Ahmedabad,compensation,1,2,45,45,92,235.0,152.0
urban_transit,Madhya Pradesh,Satara,award,2,1,26,43,102,197.0,117.0
irrigation,Karnataka,Nashik,award,3,2,19,35,72,220.0,116.0
irrigation,Madhya Pradesh,Pune,possession,5,0,21,15,64,75.0,76.0
rail,Madhya Pradesh,Satara,verification,1,0,12,33,23,213.0,57.0
urban_transit,Maharashtra,Pune,award,3,2,43,32,113,233.0,139.0
irrigation,Karnataka,Pune,compensation,3,3,45,5,86,209.0,134.0
urban_transit,Gujarat,Nagpur,objection,2,1,24,32,70,240.0,106.0
irrigation,Maharashtra,Nagpur,award,6,1,20,51,37,194.0,93.0
highway,Maharashtra,Indore,notification,5,2,12,15,37,288.0,80.0
irrigation,Gujarat,Nashik,compensation,3,1,38,40,112,210.0,144.0
highway,Gujarat,Satara,possession,2,1,45,33,50,127.0,102.0
irrigation,Maharashtra,Nashik,verification,5,0,3,45,84,257.0,99.0
highway,Maharashtra,Satara,compensation,4,1,38,46,85,151.0,109.0
rail,Gujarat,Indore,objection,6,1,17,15,26,195.0,67.0
highway,Madhya Pradesh,Satara,notification,3,2,43,51,2,370.0,115.0
irrigation,Madhya Pradesh,Pune,award,3,1,35,14,112,186.0,113.0
rail,Madhya Pradesh,Indore,award,3,2,30,25,7,240.0,102.0
highway,Madhya Pradesh,Ahmedabad,compensation,3,0,9,28,75,130.0,87.0
urban_transit,Maharashtra,Nagpur,award,3,3,9,41,67,208.0,109.0
urban_transit,Gujarat,Nashik,possession,4,2,19,20,114,117.0,115.0
irrigation,Gujarat,Satara,compensation,4,0,43,18,2,154.0,77.0
irrigation,Maharashtra,Satara,verification,2,2,9,5,33,231.0,68.0
urban_transit,Madhya Pradesh,Nashik,objection,5,4,45,29,98,280.0,142.0
rail,Maharashtra,Satara,compensation,5,0,38,44,74,171.0,112.0
irrigation,Gujarat,Pune,objection,2,1,30,49,115,257.0,133.0
urban_transit,Gujarat,Pune,possession,3,0,30,9,87,93.0,92.0
irrigation,Gujarat,Pune,award,2,2,2,21,55,156.0,76.0
urban_transit,Karnataka,Indore,possession,2,0,6,18,47,112.0,84.0
irrigation,Gujarat,Ahmedabad,compensation,2,1,26,35,21,180.0,96.0
irrigation,Maharashtra,Satara,award,3,2,17,16,89,184.0,102.0
rail,Gujarat,Ahmedabad,compensation,6,1,42,43,69,169.0,112.0
highway,Gujarat,Satara,award,5,1,42,4,47,207.0,99.0
rail,Maharashtra,Indore,possession,5,2,20,4,47,147.0,103.0
urban_transit,Maharashtra,Indore,objection,5,1,34,10,49,245.0,100.0
rail,Karnataka,Ahmedabad,possession,2,0,43,15,29,109.0,82.0
urban_transit,Karnataka,Nagpur,award,5,3,41,8,110,215.0,128.0
irrigation,Karnataka,Pune,award,4,0,22,4,58,156.0,75.0
irrigation,Gujarat,Ahmedabad,verification,4,0,36,27,18,274.0,87.0
rail,Madhya Pradesh,Nashik,compensation,5,3,23,18,93,182.0,122.0
rail,Maharashtra,Indore,possession,5,0,10,13,68,84.0,79.0
rail,Madhya Pradesh,Satara,possession,4,1,41,35,18,174.0,112.0
highway,Madhya Pradesh,Pune,possession,4,1,15,16,40,71.0,66.0
irrigation,Madhya Pradesh,Indore,possession,5,1,25,9,53,112.0,89.0
highway,Gujarat,Nashik,notification,2,1,8,22,45,282.0,79.0
urban_transit,Gujarat,Ahmedabad,objection,3,1,45,43,33,242.0,99.0
rail,Maharashtra,Nagpur,verification,3,2,34,35,19,296.0,100.0
rail,Maharashtra,Nagpur,verification,4,2,39,5,55,262.0,95.0
irrigation,Maharashtra,Ahmedabad,verification,4,0,4,49,25,233.0,68.0
highway,Madhya Pradesh,Ahmedabad,notification,4,3,15,11,87,314.0,111.0
rail,Madhya Pradesh,Indore,notification,1,0,19,4,71,269.0,80.0
irrigation,Madhya Pradesh,Satara,compensation,3,0,44,20,28,170.0,94.0
rail,Maharashtra,Satara,notification,6,3,25,34,23,355.0,111.0
urban_transit,Maharashtra,Satara,objection,2,0,35,35,65,235.0,103.0
rail,Karnataka,Indore,compensation,6,2,36,16,54,154.0,97.0
rail,Madhya Pradesh,Indore,notification,5,4,33,5,92,350.0,132.0
irrigation,Madhya Pradesh,Ahmedabad,award,4,3,10,25,56,178.0,89.0
rail,Maharashtra,Indore,verification,6,1,6,5,90,226.0,83.0
rail,Karnataka,Ahmedabad,possession,2,0,22,13,110,68.0,88.0
urban_transit,Gujarat,Indore,award,4,1,42,21,29,209.0,96.0
highway,Gujarat,Nashik,verification,5,1,28,4,97,242.0,97.0
urban_transit,Karnataka,Nagpur,compensation,2,2,16,38,19,164.0,88.0
irrigation,Gujarat,Indore,objection,1,3,35,21,105,299.0,148.0
rail,Karnataka,Ahmedabad,award,6,1,14,41,28,168.0,75.0
urban_transit,Madhya Pradesh,Indore,verification,4,1,29,44,26,320.0,112.0
urban_transit,Madhya Pradesh,Satara,compensation,5,1,24,37,2,163.0,82.0
rail,Gujarat,Indore,award,5,1,31,20,34,205.0,94.0
irrigation,Maharashtra,Nashik,objection,5,1,45,51,38,251.0,106.0
urban_transit,Karnataka,Indore,award,5,3,33,49,37,269.0,131.0
rail,Karnataka,Nagpur,award,4,2,26,49,21,238.0,109.0
irrigation,Karnataka,Satara,verification,1,1,13,49,106,265.0,114.0
highway,Gujarat,Pune,award,3,0,34,21,74,172.0,92.0
rail,Madhya Pradesh,Satara,verification,5,1,40,16,97,295.0,124.0
irrigation,Maharashtra,Nagpur,compensation,5,1,26,47,91,189.0,126.0
highway,Maharashtra,Ahmedabad,verification,2,2,11,44,110,261.0,114.0
highway,Maharashtra,Satara,award,6,2,4,50,96,200.0,115.0
highway,Gujarat,Indore,verification,3,0,39,42,53,281.0,105.0
urban_transit,Gujarat,Pune,possession,3,2,24,38,104,152.0,131.0
urban_transit,Karnataka,Ahmedabad,objection,6,3,40,15,96,285.0,139.0
highway,Gujarat,Nagpur,verification,4,2,29,10,75,274.0,106.0
rail,Maharashtra,Satara,compensation,3,3,39,16,26,217.0,117.0
highway,Maharashtra,Nashik,objection,5,0,42,35,87,197.0,95.0
urban_transit,Gujarat,Ahmedabad,notification,2,2,45,4,45,323.0,103.0
highway,Maharashtra,Satara,notification,1,1,31,35,59,301.0,98.0
highway,Madhya Pradesh,Ahmedabad,verification,5,1,17,49,84,279.0,113.0
urban_transit,Maharashtra,Satara,award,6,4,13,15,24,219.0,98.0
irrigation,Karnataka,Nagpur,objection,1,3,23,39,49,255.0,109.0
rail,Gujarat,Indore,compensation,1,0,23,32,15,136.0,72.0
irrigation,Karnataka,Satara,objection,4,2,13,39,80,231.0,106.0
urban_transit,Maharashtra,Pune,notification,1,0,30,13,96,275.0,95.0
urban_transit,Maharashtra,Ahmedabad,compensation,1,2,23,49,63,162.0,105.0
urban_transit,Karnataka,Indore,notification,1,2,16,28,110,318.0,122.0
irrigation,Madhya Pradesh,Indore,compensation,1,1,39,30,114,158.0,120.0
irrigation,Madhya Pradesh,Pune,award,3,1,26,23,107,158.0,98.0
irrigation,Maharashtra,Nashik,compensation,5,0,28,11,87,121.0,88.0
rail,Maharashtra,Indore,verification,2,2,32,15,99,291.0,123.0
rail,Karnataka,Pune,objection,4,0,6,43,86,181.0,82.0
urban_transit,Karnataka,Nashik,possession,2,1,12,17,61,104.0,88.0
urban_transit,Gujarat,Ahmedabad,compensation,5,2,30,38,0,209.0,104.0
urban_transit,Karnataka,Pune,award,1,3,18,50,95,247.0,139.0
highway,Maharashtra,Nashik,notification,1,3,37,42,51,368.0,130.0
irrigation,Maharashtra,Satara,possession,1,3,11,17,45,124.0,94.0
highway,Karnataka,Indore,verification,1,1,23,48,114,277.0,124.0
highway,Madhya Pradesh,Nagpur,award,3,1,36,17,54,188.0,94.0
irrigation,Karnataka,Ahmedabad,verification,1,0,4,48,3,228.0,58.0
urban_transit,Maharashtra,Nagpur,compensation,2,1,15,38,16,157.0,82.0
irrigation,Madhya Pradesh,Satara,verification,2,1,34,12,23,284.0,92.0
irrigation,Madhya Pradesh,Indore,notification,1,2,20,29,117,307.0,120.0
rail,Maharashtra,Nashik,possession,6,4,45,28,51,190.0,134.0
urban_transit,Madhya Pradesh,Nashik,notification,5,5,27,5,116,373.0,151.0
highway,Madhya Pradesh,Pune,verification,4,1,45,11,81,307.0,124.0
highway,Madhya Pradesh,Pune,compensation,6,1,26,23,36,162.0,91.0
rail,Madhya Pradesh,Satara,objection,1,4,20,20,31,266.0,106.0
rail,Gujarat,Satara,objection,6,1,27,17,18,225.0,80.0
highway,Gujarat,Indore,award,3,1,43,37,21,246.0,112.0
irrigation,Karnataka,Pune,objection,2,1,34,23,99,239.0,116.0
highway,Maharashtra,Ahmedabad,verification,3,3,44,9,28,318.0,113.0
irrigation,Karnataka,Nashik,possession,5,1,38,11,32,142.0,98.0
urban_transit,Maharashtra,Ahmedabad,notification,1,2,3,31,12,298.0,76.0
rail,Gujarat,Nashik,verification,1,0,21,22,35,230.0,69.0
rail,Maharashtra,Nagpur,notification,4,3,5,51,8,299.0,80.0
rail,Madhya Pradesh,Nagpur,possession,4,5,37,32,81,206.0,153.0
highway,Madhya Pradesh,Nashik,notification,1,2,25,9,18,306.0,83.0
irrigation,Gujarat,Ahmedabad,objection,6,1,37,38,41,276.0,115.0
rail,Maharashtra,Ahmedabad,possession,3,0,36,7,109,117.0,112.0
highway,Karnataka,Indore,compensation,5,0,10,4,104,78.0,71.0
urban_transit,Maharashtra,Ahmedabad,verification,6,4,24,6,71,300.0,118.0
rail,Maharashtra,Ahmedabad,verification,2,1,5,37,70,242.0,88.0
rail,Karnataka,Satara,compensation,3,0,32,19,52,139.0,86.0
rail,Gujarat,Ahmedabad,compensation,5,0,23,14,6,117.0,58.0
highway,Gujarat,Satara,possession,4,3,41,7,67,157.0,120.0
irrigation,Gujarat,Nashik,possession,2,2,39,22,81,165.0,129.0
highway,Gujarat,Nagpur,compensation,6,2,30,13,30,155.0,87.0
irrigation,Madhya Pradesh,Pune,objection,6,3,35,12,116,256.0,132.0
irrigation,Gujarat,Nashik,compensation,4,3,42,8,32,193.0,108.0
irrigation,Karnataka,Satara,award,1,0,26,48,120,180.0,114.0
rail,Maharashtra,Indore,award,3,2,20,5,111,186.0,110.0
irrigation,Madhya Pradesh,Nashik,notification,4,2,19,12,79,313.0,107.0
irrigation,Karnataka,Pune,notification,1,1,11,23,56,284.0,84.0
rail,Karnataka,Ahmedabad,possession,5,2,40,38,43,156.0,114.0
highway,Gujarat,Indore,award,1,5,8,7,90,220.0,120.0
urban_transit,Gujarat,Satara,award,6,1,34,43,65,207.0,109.0
irrigation,Maharashtra,Satara,verification,6,0,5,4,80,181.0,58.0
rail,Madhya Pradesh,Indore,award,1,1,22,11,45,181.0,84.0
highway,Gujarat,Nagpur,possession,3,3,38,26,41,195.0,130.0
irrigation,Gujarat,Satara,award,5,0,14,31,64,176.0,89.0
irrigation,Madhya Pradesh,Pune,compensation,1,0,24,23,82,114.0,84.0
irrigation,Madhya Pradesh,Indore,objection,3,3,3,37,35,222.0,86.0
highway,Maharashtra,Pune,verification,2,1,12,5,113,202.0,82.0
irrigation,Maharashtra,Satara,compensation,4,2,18,16,9,166.0,83.0
rail,Karnataka,Indore,award,6,2,28,13,32,200.0,91.0
urban_transit,Maharashtra,Nashik,verification,5,0,41,23,9,277.0,85.0
urban_transit,Karnataka,Nashik,verification,6,4,23,18,85,323.0,134.0
urban_transit,Madhya Pradesh,Nashik,compensation,3,3,11,35,112,185.0,130.0
highway,Maharashtra,Nashik,verification,6,0,32,41,36,284.0,99.0
urban_transit,Madhya Pradesh,Nashik,award,4,1,37,19,2,190.0,77.0
highway,Gujarat,Satara,verification,6,2,9,5,27,271.0,84.0
urban_transit,Gujarat,Nagpur,award,6,1,3,17,77,151.0,80.0
irrigation,Karnataka,Indore,notification,5,1,22,24,73,325.0,111.0
urban_transit,Madhya Pradesh,Ahmedabad,notification,2,2,19,10,90,292.0,101.0
highway,Madhya Pradesh,Nagpur,compensation,6,2,21,16,87,157.0,107.0
highway,Karnataka,Nashik,objection,6,2,24,24,29,247.0,95.0
irrigation,Madhya Pradesh,Satara,notification,5,1,21,34,90,297.0,105.0
urban_transit,Gujarat,Satara,award,1,1,20,30,17,177.0,75.0
highway,Maharashtra,Nagpur,notification,1,1,37,16,11,325.0,90.0
irrigation,Maharashtra,Satara,possession,4,0,29,50,20,117.0,85.0
irrigation,Karnataka,Pune,objection,3,0,17,21,98,206.0,96.0
rail,Madhya Pradesh,Ahmedabad,notification,3,2,20,6,6,301.0,75.0
rail,Gujarat,Ahmedabad,notification,2,1,32,43,53,326.0,108.0
rail,Gujarat,Satara,notification,1,1,26,43,96,313.0,117.0
rail,Gujarat,Ahmedabad,objection,3,2,25,34,12,266.0,99.0
rail,Madhya Pradesh,Nashik,verification,3,0,27,46,10,265.0,81.0
urban_transit,Maharashtra,Indore,objection,6,2,20,51,65,267.0,120.0
highway,Maharashtra,Ahmedabad,possession,6,1,15,28,36,84.0,72.0
urban_transit,Maharashtra,Nashik,possession,2,1,9,28,44,95.0,78.0
urban_transit,Madhya Pradesh,Nagpur,notification,2,2,28,47,117,366.0,150.0
urban_transit,Gujarat,Satara,objection,4,0,27,38,70,240.0,106.0
urban_transit,Gujarat,Nashik,award,3,1,16,26,14,183.0,75.0
highway,Madhya Pradesh,Indore,objection,3,3,2,27,35,219.0,83.0
urban_transit,Maharashtra,Nashik,compensation,6,2,43,48,100,210.0,143.0
highway,Madhya Pradesh,Indore,possession,1,4,7,39,101,162.0,134.0
highway,Gujarat,Ahmedabad,compensation,5,3,13,49,108,207.0,141.0
highway,Karnataka,Ahmedabad,verification,5,3,14,18,75,305.0,120.0
urban_transit,Maharashtra,Nashik,compensation,3,0,10,21,38,109.0,64.0
highway,Madhya Pradesh,Ahmedabad,objection,6,2,26,31,36,247.0,99.0
irrigation,Madhya Pradesh,Nashik,possession,3,2,28,12,87,121.0,108.0
irrigation,Maharashtra,Satara,compensation,6,1,6,18,39,116.0,68.0
rail,Gujarat,Nashik,award,1,0,22,9,88,143.0,80.0
urban_transit,Karnataka,Pune,possession,5,1,30,37,14,137.0,92.0
irrigation,Maharashtra,Pune,compensation,2,0,10,29,59,112.0,74.0
highway,Karnataka,Satara,verification,5,2,39,45,25,308.0,110.0
rail,Gujarat,Indore,verification,2,0,3,9,100,209.0,78.0
urban_transit,Maharashtra,Satara,notification,4,2,39,28,11,305.0,85.0
highway,Karnataka,Ahmedabad,award,5,0,12,21,107,138.0,85.0
rail,Maharashtra,Indore,objection,4,2,15,30,28,258.0,99.0
urban_transit,Karnataka,Ahmedabad,compensation,4,3,14,19,48,157.0,94.0
irrigation,Madhya Pradesh,Satara,compensation,3,0,5,47,5,97.0,50.0
highway,Madhya Pradesh,Nashik,compensation,1,2,31,22,100,146.0,109.0
irrigation,Madhya Pradesh,Nagpur,compensation,6,1,8,37,76,151.0,100.0
urban_transit,Maharashtra,Nagpur,objection,1,1,30,22,38,239.0,94.0
highway,Madhya Pradesh,Ahmedabad,notification,5,1,15,8,67,294.0,91.0
irrigation,Maharashtra,Nashik,compensation,4,1,18,18,12,144.0,73.0
irrigation,Madhya Pradesh,Pune,objection,4,2,38,13,65,236.0,104.0
highway,Maharashtra,Indore,possession,3,1,13,40,79,105.0,98.0
urban_transit,Karnataka,Satara,notification,4,2,11,26,74,331.0,114.0
rail,Madhya Pradesh,Ahmedabad,compensation,3,5,20,31,104,225.0,150.0
highway,Karnataka,Ahmedabad,possession,4,4,14,15,6,169.0,102.0
rail,Karnataka,Indore,objection,4,1,38,4,23,243.0,90.0
urban_transit,Karnataka,Satara,verification,2,0,18,7,29,239.0,69.0
irrigation,Gujarat,Satara,award,2,3,35,24,79,238.0,129.0
rail,Karnataka,Indore,objection,3,1,16,39,10,222.0,77.0
highway,Madhya Pradesh,Nagpur,compensation,3,4,34,13,77,226.0,139.0
highway,Madhya Pradesh,Satara,notification,2,0,26,6,59,266.0,76.0
highway,Maharashtra,Nagpur,possession,6,0,45,26,117,115.0,118.0
rail,Maharashtra,Pune,objection,6,1,11,11,92,222.0,101.0
irrigation,Madhya Pradesh,Ahmedabad,compensation,6,1,5,6,80,141.0,92.0
